DEPADM;DepBol;NomeDepBol;codRMet;codmun;mun;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;100;SAO PAULO;3º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;177,3
1;1;Rede Estadual;1;100;SAO PAULO;3º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;176,8
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;212,3
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;212
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;235,7
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;236,4
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;3;NOITE;1;LÍNGUA PORTUGUESA;197,4
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;280,1
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;287,7
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;260,4
1;1;Rede Estadual;1;188;ARUJA;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;241,8
1;1;Rede Estadual;1;188;ARUJA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;241,5
1;1;Rede Estadual;1;188;ARUJA;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;271,7
1;1;Rede Estadual;1;188;ARUJA;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;257,6
1;1;Rede Estadual;1;206;BARUERI;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;282,7
1;1;Rede Estadual;1;206;BARUERI;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;282,2
1;1;Rede Estadual;1;206;BARUERI;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;259,2
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;229,7
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;230
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;269,6
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;249,8
1;1;Rede Estadual;1;239;CAIEIRAS;3º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;165,1
1;1;Rede Estadual;1;239;CAIEIRAS;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;247,8
1;1;Rede Estadual;1;239;CAIEIRAS;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;244,1
1;1;Rede Estadual;1;239;CAIEIRAS;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;279
1;1;Rede Estadual;1;239;CAIEIRAS;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;267
1;1;Rede Estadual;1;241;CAJAMAR;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;238,1
1;1;Rede Estadual;1;241;CAJAMAR;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;278,9
1;1;Rede Estadual;1;241;CAJAMAR;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;250,3
1;1;Rede Estadual;1;255;CARAPICUIBA;3º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;170,6
1;1;Rede Estadual;1;255;CARAPICUIBA;3º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;176,4
1;1;Rede Estadual;1;255;CARAPICUIBA;5º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;205,7
1;1;Rede Estadual;1;255;CARAPICUIBA;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;207,3
1;1;Rede Estadual;1;255;CARAPICUIBA;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;238,3
1;1;Rede Estadual;1;255;CARAPICUIBA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;233
1;1;Rede Estadual;1;255;CARAPICUIBA;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;276,6
1;1;Rede Estadual;1;255;CARAPICUIBA;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;263,7
1;1;Rede Estadual;1;278;COTIA;3º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;158,4
1;1;Rede Estadual;1;278;COTIA;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;174,3
1;1;Rede Estadual;1;278;COTIA;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;237,2
1;1;Rede Estadual;1;278;COTIA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;238,7
1;1;Rede Estadual;1;278;COTIA;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;280,6
1;1;Rede Estadual;1;278;COTIA;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;310,1
1;1;Rede Estadual;1;278;COTIA;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;267,5
1;1;Rede Estadual;1;286;DIADEMA;3º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;182
1;1;Rede Estadual;1;286;DIADEMA;3º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;187,3
1;1;Rede Estadual;1;286;DIADEMA;5º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;223,9
1;1;Rede Estadual;1;286;DIADEMA;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;230,1
1;1;Rede Estadual;1;286;DIADEMA;9º Ano EF;1;MANHA;1;LÍNGUA PORTUGUESA;249,6
1;1;Rede Estadual;1;286;DIADEMA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;228,7
1;1;Rede Estadual;1;286;DIADEMA;EM-3ª série;1;MANHA;1;LÍNGUA PORTUGUESA;285,2
1;1;Rede Estadual;1;286;DIADEMA;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;285,3
