DEPADM,DepBol,NomeDepBol,codRMet,codmun,mun,SERIE_ANO,cod_per,periodo,co_comp,ds_comp,medprof,
1,1,Rede Estadual,1,100,SAO PAULO,3? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,187,1
1,1,Rede Estadual,1,100,SAO PAULO,5? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,214,4
1,1,Rede Estadual,1,100,SAO PAULO,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,248,1
1,1,Rede Estadual,1,100,SAO PAULO,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,276,
1,1,Rede Estadual,1,188,ARUJA,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,249,
1,1,Rede Estadual,1,188,ARUJA,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,273,8
1,1,Rede Estadual,1,206,BARUERI,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,279,3
1,1,Rede Estadual,1,215,BIRITIBA-MIRIM,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,232,
1,1,Rede Estadual,1,215,BIRITIBA-MIRIM,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,278,7
1,1,Rede Estadual,1,239,CAIEIRAS,3? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,191,5
1,1,Rede Estadual,1,239,CAIEIRAS,5? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,193,6
1,1,Rede Estadual,1,239,CAIEIRAS,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,256,8
1,1,Rede Estadual,1,239,CAIEIRAS,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,277,2
1,1,Rede Estadual,1,241,CAJAMAR,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,227,2
1,1,Rede Estadual,1,241,CAJAMAR,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,270,8
1,1,Rede Estadual,1,255,CARAPICUIBA,3? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,182,
1,1,Rede Estadual,1,255,CARAPICUIBA,5? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,209,3
1,1,Rede Estadual,1,255,CARAPICUIBA,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,247,9
1,1,Rede Estadual,1,255,CARAPICUIBA,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,274,7
1,1,Rede Estadual,1,278,COTIA,3? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,174,9
1,1,Rede Estadual,1,278,COTIA,5? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,179,6
1,1,Rede Estadual,1,278,COTIA,9? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,247,1
1,1,Rede Estadual,1,278,COTIA,EM-3? s?rie,9,GERAL,1,L?NGUA PORTUGUESA,281,4
1,1,Rede Estadual,1,286,DIADEMA,3? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,199,3
1,1,Rede Estadual,1,286,DIADEMA,5? Ano EF,9,GERAL,1,L?NGUA PORTUGUESA,222,5
