DEPADM;DepBol;NomeDepBol;CodRMet;codmun;mun;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;100;SAO PAULO;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;183,9
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;213,8
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;247,8
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;267,7
1;1;Rede Estadual;1;100;SAO PAULO;3º Ano EF;9;GERAL;2;MATEMATICA;209,2
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;2;MATEMATICA;227,3
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;2;MATEMATICA;254,5
1;1;Rede Estadual;1;100;SAO PAULO;EM-3ª série;9;GERAL;2;MATEMATICA;268,3
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;247
1;1;Rede Estadual;5;150;ADAMANTINA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;268,4
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;9;GERAL;2;MATEMATICA;260,2
1;1;Rede Estadual;5;150;ADAMANTINA;EM-3ª série;9;GERAL;2;MATEMATICA;282,4
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;260,4
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;9;GERAL;2;MATEMATICA;269,6
1;1;Rede Estadual;5;152;AGUAI;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;167,9
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;203
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;239,6
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;278,1
1;1;Rede Estadual;5;152;AGUAI;3º Ano EF;9;GERAL;2;MATEMATICA;197,9
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;9;GERAL;2;MATEMATICA;218,6
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;9;GERAL;2;MATEMATICA;248,6
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;9;GERAL;2;MATEMATICA;274,9
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;193,8
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;220,6
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;244,1
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;294,8
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;3º Ano EF;9;GERAL;2;MATEMATICA;223,7
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;9;GERAL;2;MATEMATICA;240,2
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;2;MATEMATICA;276
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;9;GERAL;2;MATEMATICA;307,4
