DEPADM,DepBol,NomeDepBol,codRMet,CODMUN,MUN,SERIE_ANO,cod_per,periodo,co_comp,ds_comp,medprof
1,1,Rede Estadual,1,100,SAO PAULO,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,197.1
1,1,Rede Estadual,1,100,SAO PAULO,5º Ano EF,9,GERAL,2,MATEMÁTICA,208.1
1,1,Rede Estadual,1,100,SAO PAULO,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,242.3
1,1,Rede Estadual,1,100,SAO PAULO,9º Ano EF,9,GERAL,2,MATEMÁTICA,245.9
1,1,Rede Estadual,1,100,SAO PAULO,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,266.3
1,1,Rede Estadual,1,100,SAO PAULO,EM-3ª série,9,GERAL,2,MATEMÁTICA,263.4
1,1,Rede Estadual,5,150,ADAMANTINA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,232.4
1,1,Rede Estadual,5,150,ADAMANTINA,9º Ano EF,9,GERAL,2,MATEMÁTICA,247.1
1,1,Rede Estadual,5,150,ADAMANTINA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,239.1
1,1,Rede Estadual,5,150,ADAMANTINA,EM-3ª série,9,GERAL,2,MATEMÁTICA,249.2
1,1,Rede Estadual,5,151,ADOLFO,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,231.3
1,1,Rede Estadual,5,151,ADOLFO,EM-3ª série,9,GERAL,2,MATEMÁTICA,257.2
1,1,Rede Estadual,5,152,AGUAI,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,186.7
1,1,Rede Estadual,5,152,AGUAI,5º Ano EF,9,GERAL,2,MATEMÁTICA,208.3
1,1,Rede Estadual,5,152,AGUAI,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,225.9
1,1,Rede Estadual,5,152,AGUAI,9º Ano EF,9,GERAL,2,MATEMÁTICA,230.5
1,1,Rede Estadual,5,152,AGUAI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,256.6
1,1,Rede Estadual,5,152,AGUAI,EM-3ª série,9,GERAL,2,MATEMÁTICA,258.8
1,1,Rede Estadual,5,153,AGUAS DE LINDOIA,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,187.3
1,1,Rede Estadual,5,153,AGUAS DE LINDOIA,5º Ano EF,9,GERAL,2,MATEMÁTICA,205.9
1,1,Rede Estadual,5,153,AGUAS DE LINDOIA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,255.8
1,1,Rede Estadual,5,153,AGUAS DE LINDOIA,9º Ano EF,9,GERAL,2,MATEMÁTICA,266.5
1,1,Rede Estadual,5,153,AGUAS DE LINDOIA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,281.1
1,1,Rede Estadual,5,153,AGUAS DE LINDOIA,EM-3ª série,9,GERAL,2,MATEMÁTICA,292.4
1,1,Rede Estadual,5,154,AGUAS DA PRATA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,252.6
1,1,Rede Estadual,5,154,AGUAS DA PRATA,9º Ano EF,9,GERAL,2,MATEMÁTICA,270.2
1,1,Rede Estadual,5,154,AGUAS DA PRATA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,269.8
1,1,Rede Estadual,5,154,AGUAS DA PRATA,EM-3ª série,9,GERAL,2,MATEMÁTICA,274.6
1,1,Rede Estadual,5,155,AGUAS DE SAO PEDRO,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,250.4
1,1,Rede Estadual,5,155,AGUAS DE SAO PEDRO,EM-3ª série,9,GERAL,2,MATEMÁTICA,250.2
1,1,Rede Estadual,5,156,AGUDOS,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,233.3
1,1,Rede Estadual,5,156,AGUDOS,9º Ano EF,9,GERAL,2,MATEMÁTICA,242.7
1,1,Rede Estadual,5,156,AGUDOS,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,260.1
1,1,Rede Estadual,5,156,AGUDOS,EM-3ª série,9,GERAL,2,MATEMÁTICA,265.0
1,1,Rede Estadual,5,157,ALFREDO MARCONDES,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,217.2
1,1,Rede Estadual,5,157,ALFREDO MARCONDES,5º Ano EF,9,GERAL,2,MATEMÁTICA,224.3
1,1,Rede Estadual,5,157,ALFREDO MARCONDES,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,236.1
1,1,Rede Estadual,5,157,ALFREDO MARCONDES,9º Ano EF,9,GERAL,2,MATEMÁTICA,248.1
